Date,Close,High,Low,Open,Volume,SMA_20
2026-06-18,400.489990234375,402.5199890136719,384.7000122070313,398.1000061035156,58384700,
2026-06-22,405.0499877929688,414.75,394.3999938964844,394.8500061035156,47819500,
2026-06-23,381.6099853515625,392.8699951171875,379.05999755859375,392.6099853515625,50420200,
2026-06-24,375.5299987792969,384.5799865722656,373.0499877929688,380.0799865722656,37081400,
2026-06-25,375.1199951171875,379.1199951171875,371.2200012207031,375.2699890136719,30138800,
2026-06-26,379.7099914550781,387.7999877929688,368.6000061035156,370.1499938964844,53434100,
2026-06-29,411.8399963378906,413.2699890136719,379.2999877929688,381.7900085449219,57645800,
2026-06-30,420.6000061035156,424.5400085449219,406.0,406.0,43385600,
2026-07-01,425.2999877929688,432.8599853515625,418.0899963378906,421.4599914550781,40127900,
2026-07-02,393.4500122070313,432.3500061035156,389.2999877929688,428.010009765625,73717700,
2026-07-06,419.7699890136719,420.0,390.5,397.5,54727900,
2026-07-07,402.8999938964844,419.55999755859375,401.8800048828125,416.9599914550781,38149900,
2026-07-08,394.05999755859375,399.6300048828125,390.510009765625,399.3800048828125,33844900,
2026-07-09,406.5499877929688,407.8599853515625,390.8599853515625,393.989990234375,37835000,
2026-07-10,407.760009765625,413.1600036621094,402.80999755859375,410.489990234375,33410000,
2026-07-13,394.760009765625,405.5700073242188,391.3699951171875,404.6099853515625,32809200,
2026-07-14,396.1799926757813,402.2200012207031,394.760009765625,399.0499877929688,23385000,
2026-07-15,394.4599914550781,406.5899963378906,390.6600036621094,399.3999938964844,31549800,
2026-07-16,391.05999755859375,395.30999755859375,385.3200073242188,392.3500061035156,29269100,
2026-07-17,380.8399963378906,385.6900024414063,377.2200012207031,381.7799987792969,31394600,397.85199584960935
2026-07-20,369.5700073242188,386.6099853515625,369.4299926757813,386.0499877929688,33901500,396.3059967041016
2026-07-21,378.9299926757813,384.0700073242188,369.9800109863281,371.1700134277344,32735300,394.9999969482422
2026-07-22,374.010009765625,380.1700134277344,372.8999938964844,375.5299987792969,30646100,394.6199981689453
2026-07-23,319.69000244140625,342.1099853515625,315.739990234375,341.0,115606400,391.82799835205077
2026-07-24,313.0299987792969,322.9599914550781,306.510009765625,320.7200012207031,62760000,388.72349853515624
2026-07-27,309.2200012207031,317.0,304.2799987792969,313.239990234375,44919400,385.1989990234375
2026-07-28,307.44000244140625,311.1600036621094,300.69000244140625,305.92999267578125,39802400,379.97899932861327
2026-07-29,298.32000732421875,309.0599975585937,297.3800048828125,307.1400146484375,39478000,373.86499938964846
2026-07-30,308.8500061035156,310.8699951171875,301.3299865722656,302.70001220703125,38005400,368.0425003051758
2026-07-31,310.010009765625,315.5,301.9700012207031,309.6000061035156,29909650,363.8705001831055
